	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
otherob	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures	Other Obstetric Procedures																
pay																				Payment Source RFP 580=f_pay R	Payment Source RFP 580=f_pay R	Payment Source RFP 580=f_pay R	Payment Source RFP 580=f_pay R	Payment Source RFP 580=f_pay R	Payment Source for Delivery 1 Medicaid	Payment Source for Delivery 1 Medicaid	Payment Source for Delivery 1 Medicaid	Payment Source for Delivery 1 Medicaid	Payment Source for Delivery 1 Medicaid
pay_rec																				Payment Recode RFP 678=f_pay_rec R	Payment Recode RFP 678=f_pay_rec R	Payment Recode RFP 678=f_pay_rec R	Payment Recode RFP 678=f_pay_rec R	Payment Recode RFP 678=f_pay_rec R	Payment Recode 1 Medicaid	Payment Recode 1 Medicaid	Payment Recode 1 Medicaid	Payment Recode 1 Medicaid	Payment Recode 1 Medicaid
phyper	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy associated	Hypertension - pregnancy-associated	Hypertension - pregnancy-associated																
placefip					Resdience (FIPS)	Resdience (FIPS)	Resdience (FIPS)	Resdience (FIPS)	Resdience (FIPS)	Resdience (FIPS)	Resdience (FIPS)	Residence	Residence																
pldel	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth	Place or Facility of Birth																
pldel3	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode	Place or Facility of Birth Recode																
plurimp	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag	Plurality Imputation Flag																
popsmas																													
pre4000	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams	Previous infant 4000+ grams																
precare														Month Prenatal Care Began R	Month Prenatal Care Began R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began RFP 668=f_mpcb R	Month Prenatal Care Began 00 No prenatal care	Month Prenatal Care Began 00 No prenatal care	Month Prenatal Care Began 00 No prenatal care	Month Prenatal Care Began 00 No prenatal care	Month Prenatal Care Began 00 No prenatal care
precare5																									Month Prenatal Care Began Recode 1 1st to 3rd month	Month Prenatal Care Began Recode 1 1st to 3rd month	Month Prenatal Care Began Recode 1 1st to 3rd month	Month Prenatal Care Began Recode 1 1st to 3rd month	Month Prenatal Care Began Recode 1 1st to 3rd month
precare_rec														Month Prenatal Care Began Recode R	Month Prenatal Care Began Recode R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R	Month Prenatal Care Began Recode RFP 668=f_mpcb R					
precip	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor	Precipitous labor (&lt;3 hours)	Precipitous labor (&lt;3 hours)																
preplace	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa	Placenta previa																
preterm	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant	Previous preterm or small-for-gestational-age infant																
previs																									Number of Prenatal Visits (Revised only) 00-98 Number of prenatal visits	Number of Prenatal Visits (Revised only) 00-98 Number of prenatal visits	Number of Prenatal Visits (Revised only) 00-98 Number of prenatal visits	Number of Prenatal Visits (Revised only) 00-98 Number of prenatal visits	Number of Prenatal Visits (Revised only) 00-98 Number of prenatal visits
previs_rec														Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode U;R	Number of Prenatal Visits Recode RFP 671=f_tpcv U;R	Number of Prenatal Visits Recode RFP 671=f_tpcv U;R	Number of Prenatal Visits Recode RFP 671=f_tpcv U;R	Number of Prenatal Visits Recode RFP 671=f_tpcv U;R	Number of Prenatal Visits Recode RFP 671=f_tpcv U;R	Number of Prenatal Visits Recode 01 No visits	Number of Prenatal Visits Recode 01 No visits	Number of Prenatal Visits Recode 01 No visits	Number of Prenatal Visits Recode 01 No visits	Number of Prenatal Visits Recode 01 No visits
primac	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C-section	Primary C -section	Primary C -section																
priordead														Prior Births Now Dead U;R	Prior Births Now Dead U;R	Prior Births Now Dead U;R									Prior Births Now Dead 00-30 Number of children dead fro	Prior Births Now Dead 00-30 Number of children dead fro	Prior Births Now Dead 00-30 Number of children dead fro	Prior Births Now Dead 00-30 Number of children dead fro	Prior Births Now Dead 00-30 Number of children dead fro
priorlive														Prior Births Now Living U;R	Prior Births Now Living U;R	Prior Births Now Living U;R									Prior Births Now Living 00-30 Number of children still li	Prior Births Now Living 00-30 Number of children still li	Prior Births Now Living 00-30 Number of children still li	Prior Births Now Living 00-30 Number of children still li	Prior Births Now Living 00-30 Number of children still li
priorterm														Prior Other Terminations U;R	Prior Other Terminations U;R	Prior Other Terminations U;R				Prior Other Terminations U;R	Prior Other Terminations U;R	Prior Other Terminations U;R	Prior Other Terminations U;R	Prior Other Terminations U;R	Prior Other Terminations 00-30 Number other terminations	Prior Other Terminations 00-30 Number other terminations	Prior Other Terminations 00-30 Number other terminations	Prior Other Terminations 00-30 Number other terminations	Prior Other Terminations 00-30 Number other terminations
prolong	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor	Prolonged labor (&gt;20 hours)	Prolonged labor (&gt;20 hours)																
pwgt_r																				Prepregnancy Weight Recode RFP 577=f_pwgt R	Prepregnancy Weight Recode RFP 577=f_pwgt R	Prepregnancy Weight Recode RFP 577=f_pwgt R	Prepregnancy Weight Recode RFP 577=f_pwgt R	Prepregnancy Weight Recode RFP 577=f_pwgt R	Pre-pregnancy Weight Recode 075-375 Weight in pounds	Pre-pregnancy Weight Recode 075-375 Weight in pounds	Pre-pregnancy Weight Recode 075-375 Weight in pounds	Pre-pregnancy Weight Recode 075-375 Weight in pounds	Pre-pregnancy Weight Recode 075-375 Weight in pounds
rcity_pop														Residence City U;R	Residence City U;R														
rcnty_pop														Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R	Residence County U;R					
rdmeth_rec																Delivery Method Recode (Revised) R	Delivery Method Recode (Revised) R	Delivery Method Recode (Revised) R	Delivery Method Recode (Revised) R	Delivery Method Recode (Revised) RFP 679=f_rdmeth_rec R	Delivery Method Recode (Revised) RFP 679=f_rdmeth_rec R	Delivery Method Recode (Revised) RFP 679=f_rdmeth_rec R	Delivery Method Recode (Revised) RFP 679=f_rdmeth_rec R	Delivery Method Recode (Revised) RFP 679=f_rdmeth_rec R	Delivery Method Recode (revised only) 1 Vaginal (excludes vaginal a	Delivery Method Recode (revised only) 1 Vaginal (excludes vaginal a	Delivery Method Recode (revised only) 1 Vaginal (excludes vaginal a	Delivery Method Recode (revised only) 1 Vaginal (excludes vaginal a	Delivery Method Recode (revised only) 1 Vaginal (excludes vaginal a
rectal	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis	Rectal atresia/stenosis																
rectype	Record type	Record type	Record type	Record type	Record type	Record type	Record type	Record type	Record type	Record type	Record type	Record Type	Record Type	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R	Record Type U;R					
recwt	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight	Record Weight U;R	Record Weight U;R	Record Weight U;R													
regnocc	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence	Region of Occurrence																
regnres	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence	Region of Residence																
renal	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease	Renal disease																
renalage	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis	Renal agenesis																
repeac	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C-section	Repeat C -section	Repeat C -section																
restatus	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident status	Resident Status	Resident Status	Resident Status U;R	Resident Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status U;R	Residence Status	Residence Status	Residence Status	Residence Status	Residence Status
revision																													
rf_artec																				_rf_cesar R	_rf_cesar R	_rf_cesar R	_rf_cesar R	_rf_cesar R					
rf_cesar															_rf_cesar R		_rf_cesar R	_rf_cesar R	_rf_cesar R	_rf_ncesar R	_rf_ncesar R	_rf_ncesar R	_rf_ncesar R	_rf_ncesar R					
rf_cesarn															Number of Previous Cesarean Deliveries RFP 594=f_rf_ncesar R		Number of Previous Cesarean Deliveries RFP 594=f_rf_ncesar R	Number of Previous Cesarean Deliveries RFP 594=f_rf_ncesar R	Number of Previous Cesarean Deliveries RFP 594=f_rf_ncesar R	Number of Previous Cesarean Deliveries RFP 594= R	Number of Previous Cesarean Deliveries RFP 594= R	Number of Previous Cesarean Deliveries RFP 594= R	Number of Previous Cesarean Deliveries RFP 594= R	Number of Previous Cesarean Deliveries RFP 594= R	Number of Previous Cesareans 00 None	Number of Previous Cesareans 00 None	Number of Previous Cesareans 00 None	Number of Previous Cesareans 00 None	Number of Previous Cesareans 00 None
rf_diab															_rf_diab R		_rf_diab R	_rf_diab R	_rf_diab R	_rf_diab R	_rf_diab R	_rf_diab R	_rf_diab R	_rf_diab R					
rf_eclam															_eclamp R		_eclamp R	_eclamp R	_eclamp R	_eclamp R	_eclamp R	_eclamp R	_eclamp R	_eclamp R					
rf_ehype																													
rf_fedrg																				_rf_inft_drg R	_rf_inft_drg R	_rf_inft_drg R	_rf_inft_drg R	_rf_inft_drg R					
rf_gdiab																													
rf_gest															_rf_gdiab R		_rf_gdiab R	_rf_gdiab R	_rf_gdiab R	_rf_gdiab R	_rf_gdiab R	_rf_gdiab R	_rf_gdiab R	_rf_gdiab R					
rf_ghyp															_rf_ghyper R		_rf_ghyper R	_rf_ghyper R	_rf_ghyper R	_rf_ghyper R	_rf_ghyper R	_rf_ghyper R	_rf_ghyper R	_rf_ghyper R					
rf_ghype																													
rf_inftr																				ertility Treatment RFP 590=f_rf_inft_drg R	ertility Treatment RFP 590=f_rf_inft_drg R	ertility Treatment RFP 590=f_rf_inft_drg R	ertility Treatment RFP 590=f_rf_inft_drg R	ertility Treatment RFP 590=f_rf_inft_drg R	ertility Treatment Used Y Yes	ertility Treatment Used Y Yes	ertility Treatment Used Y Yes	ertility Treatment Used Y Yes	ertility Treatment Used Y Yes
rf_pdiab																													
rf_phyp															_rf_phyper R		_rf_phyper R	_rf_phyper R	_rf_phyper R	_rf_phyper R	_rf_phyper R	_rf_phyper R	_rf_phyper R	_rf_phyper R					
rf_phype																													
rf_ppoutc															_rf_ppo R		_rf_ppo R	_rf_ppo R	_rf_ppo R	_rf_ppo R	_rf_ppo R	_rf_ppo R	_rf_ppo R	_rf_ppo R					
rf_ppterm															_rf_ppb R		_rf_ppb R	_rf_ppb R	_rf_ppb R	_rf_ppb R	_rf_ppb R	_rf_ppb R	_rf_ppb R	_rf_ppb R					
rh	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization	Rh sensitization																
rupture	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane	Premature rupture of membrane (&gt;12 hours)	Premature rupture of membrane (&gt;12 hours)																
seizure	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor	Seizures during labor																
setorder_r																				Set Order Recode RFP 571=? F	Set Order Recode RFP 571=? F	Set Order Recode RFP 571=? F	Set Order Recode RFP 571=? F	Set Order Recode RFP 571=? F	Set Order Recode 1 1st	Set Order Recode 1 1st	Set Order Recode 1 1st	Set Order Recode 1 1st	Set Order Recode 1 1st
sex																	Infant U;R	Infant U;R	Infant U;R	Infant U;R	Infant U;R	Infant U;R	Infant U;R	Infant U;R	Infant M Male	Infant M Male	Infant M Male	Infant M Male	Infant M Male
smsares	Residence	Residence	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)	Residence (NCHS)																
smsarfip	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence (FIPS)	Residence (FIPS)																
spina	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele	Spina bifida/Meningocele																
statenat	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurrence	Occurrence																
stateres	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence																
stimula	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor	Stimulation of labor																
stnatexp	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence	Occurrence																
stocc												State Subcode of Occurrence	State Subcode of Occurrence																
stoccfip	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)																
stresexp	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence																
stresfip	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)																
stsubocc	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence	State Subcode of occurrence																		
stsubres	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence	State Subcode of Residence																
tbo														Total Birth Order U;R	Total Birth Order U;R	Total Birth Order U;R													
tbo_rec														Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode U;R	Total Birth Order Recode 1-7 Number of total birth order	Total Birth Order Recode 1-7 Number of total birth order	Total Birth Order Recode 1-7 Number of total birth order	Total Birth Order Recode 1-7 Number of total birth order	Total Birth Order Recode 1-7 Number of total birth order
tobacco	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy	Tobacco Use During Pregnancy																
tobuse	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco use	Tobacco Use U	Tobacco Use U	Tobacco Use RFP 667=f_tobac U	Tobacco Use RFP 667=f_tobac U	Tobacco Use RFP 667=f_tobac U	Tobacco Use RFP 667=f_tobac U										
tocol	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis	Tocolysis																
totord9	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode	Total Birth Order Recode																
tracheo	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia	Tracheo - esophageal fistula/Esophageal atresia																
u_apncu															Adequacy of Prenatal Care Utilization Index U	Adequacy of Prenatal Care Utilization Index RFP 669=f_mpcb_u U	Adequacy of Prenatal Care Utilization Index RFP 669=f_mpcb_u U	Adequacy of Prenatal Care Utilization Index RFP 669=f_mpcb_u U	Adequacy of Prenatal Care Utilization Index RFP 669=f_mpcb_u U										
uab_alcoh														Fetal Alcohol Syndrome U	Fetal Alcohol Syndrome U	Fetal Alcohol Syndrome U	Fetal Alcohol Syndrome RFP 742=f_uab_alcosyn U												
uab_anem														Anemia U	Anemia U	Anemia U	Anemia RFP 740=f_uab_anemia U												
uab_hyal														Hyaline Membrane Disease U	Hyaline Membrane Disease U	Hyaline Membrane Disease U	Hyaline Membrane Disease RFP 743=f_uab_hyaline U												
uab_injury														Birth Injury U	Birth Injury U	Birth Injury U	Birth Injury RFP 741=f_uab_injury U												
uab_mecon														Meconium Aspiration Syndrome U	Meconium Aspiration Syndrome U	Meconium Aspiration Syndrome U	Meconium Aspiration Syndrome RFP 744=f_uab_meconsyn U												
uab_nseiz														Seizures U	Seizures U	Seizures U	Seizures RFP 747=f_uab_seiz U												
uab_other														Other Abnormal Conditions U	Other Abnormal Conditions U	Other Abnormal Conditions U	Other Abnormal Conditions RFP 748=f_uab_otherab U												
uab_ven30m														Assisted Ventilation &gt;= 30 min U	Assisted Ventilation &gt;= 30 min U	Assisted Ventilation &gt;= 30 min U	Assisted Ventilation &gt;= 30 min RFP 746=f_uab_ven30m U												
uab_venl30														Assisted Ventilation &lt; 30 min U	Assisted Ventilation &lt; 30 min U	Assisted Ventilation &lt; 30 min U	Assisted Ventilation &lt; 30 min RFP 745=f_uab_venl30 U												
ubfacil														Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place U;R	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital
uca_adactyly														Polydactyly/Syndactyly/Adactyly U	Polydactyly/Syndactyly/Adactyly U	Polydactyly/Syndactyly/Adactyly U	Polydactyly/Syndactyly/Adactyly RFP 767=f_uca_adactyl U												
uca_anen														Anencephalus U;R	Anencephalus U;R	Anencephalus U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus RFP 752=f_uca_anen U;R	Anencephalus 1 Anomaly reported	Anencephalus 1 Anomaly reported	Anencephalus 1 Anomaly reported	Anencephalus 1 Anomaly reported	Anencephalus 1 Anomaly reported
uca_chromo														Other Chromosomal Anomalies U	Other Chromosomal Anomalies U	Other Chromosomal Anomalies U	Other Chromosomal Anomalies RFP 772=f_uca_chromo U												
uca_circ														Other Circulatory/Respiratory Anomalies U	Other Circulatory/Respiratory Anomalies U	Other Circulatory/Respiratory Anomalies U	Other Circulatory/Respiratory Anomalies RFP 758=f_uca_circul U												
uca_cleftlp														Cleft Lip/Palate U;R	Cleft Lip/Palate U;R	Cleft Lip/Palate U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip/Palate RFP 766=f_uca_cleftlp U;R	Cleft Lip / Palate 1 Anomaly reported	Cleft Lip / Palate 1 Anomaly reported	Cleft Lip / Palate 1 Anomaly reported	Cleft Lip / Palate 1 Anomaly reported	Cleft Lip / Palate 1 Anomaly reported
uca_clubft														Club Foot U	Club Foot U	Club Foot U	Club Foot RFP 768=f_uca_club U												
uca_downs														Down Syndrome U;R	Down Syndrome U;R	Down Syndrome U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome RFP 771=f_uca_downs U;R	Down Syndrome 1 Anomaly reported	Down Syndrome 1 Anomaly reported	Down Syndrome 1 Anomaly reported	Down Syndrome 1 Anomaly reported	Down Syndrome 1 Anomaly reported
uca_gastro														Other Gastrointestinal Anomalies U	Other Gastrointestinal Anomalies U	Other Gastrointestinal Anomalies U	Other Gastrointestinal Anomalies RFP 762=f_uca_gastro U												
uca_genital														Malformed Genitalia U	Malformed Genitalia U	Malformed Genitalia U	Malformed Genitalia RFP 763=f_uca_genital U												
uca_heart														Heart malformations U	Heart malformations U	Heart malformations U	Heart malformations RFP 757=f_uca_heart U												
uca_hernia														Diaphragmatic Hernia U	Diaphragmatic Hernia U	Diaphragmatic Hernia U	Diaphragmatic Hernia RFP 769=f_uca_hernia U		Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia RFP 769=f_uca_hernia U;R	Diaphragmatic Hernia 1 Anomaly reported	Diaphragmatic Hernia 1 Anomaly reported	Diaphragmatic Hernia 1 Anomaly reported	Diaphragmatic Hernia 1 Anomaly reported	Diaphragmatic Hernia 1 Anomaly reported
uca_hydro														Hydrocephalus U	Hydrocephalus U	Hydrocephalus U	Hydrocephalus RFP 754=f_uca_hydro U												
uca_micro														Microcephalus U	Microcephalus U	Microcephalus U	Microcephalus RFP 755=f_uca_microce U												
uca_muscu														Other Musculoskeletal Anomalies U	Other Musculoskeletal Anomalies U	Other Musculoskeletal Anomalies U	Other Musculoskeletal Anomalies RFP 770=f_uca_musculo U												
